polyglot,time,langDedect,time,langid,time,fasttext,time
2,0.0001,3,0.0345,7,0.0023,7,0.0002
7,0.0002,3,0.0189,3,0.0031,7,0.0004
7,0.0001,3,0.0201,3,0.0024,7,0.0003
7,0.0002,3,0.0318,3,0.0028,7,0.0003
7,0.0003,7,0.0511,7,0.0023,7,0.0003
7,0.0001,3,0.0232,3,0.0023,7,0.0002
7,0.0002,3,0.0218,3,0.0035,7,0.0004
2,0.0001,7,0.0341,3,0.0023,7,0.0002
7,0.0002,3,0.0229,3,0.0027,7,0.0003
7,0.0002,3,0.0332,3,0.003,7,0.0003
7,0.0002,3,0.0305,3,0.0049,3,0.0006
7,0.0001,2,0.0405,3,0.0026,7,0.0003
7,0.0001,7,0.0497,3,0.0023,7,0.0002
1,0.0001,2,0.0301,3,0.0022,7,0.0002
7,0.0002,3,0.0323,3,0.0033,3,0.0004
7,0.0001,3,0.0784,3,0.0025,7,0.0003
1,0.0001,7,0.061,3,0.0023,2,0.0002
7,0.0002,3,0.0352,3,0.0037,3,0.0005
1,0.0001,2,0.0448,3,0.0023,2,0.0002
2,0.0001,3,0.0359,7,0.0022,7,0.0002
7,0.0001,7,0.0442,2,0.0024,7,0.0003
2,0.0001,7,0.0366,7,0.0022,7,0.0002
7,0.0001,3,0.031,3,0.0025,7,0.0003
7,0.0002,3,0.0268,3,0.0028,7,0.0003
7,0.0001,2,0.0504,2,0.0023,7,0.0002
7,0.0002,3,0.0345,3,0.0031,3,0.0005
7,0.0001,7,0.0285,7,0.0023,7,0.0002
2,0.0001,3,0.0293,7,0.0026,7,0.0003
7,0.0001,2,0.0435,1,0.0023,7,0.0003
3,0.0001,3,0.0156,3,0.0023,3,0.0003
3,0.0001,3,0.0167,3,0.0021,3,0.0002
3,0.0001,3,0.0147,3,0.0021,3,0.0002
3,0.0001,3,0.0147,3,0.002,3,0.0002
3,0.0001,3,0.0147,3,0.0022,3,0.0002
3,0.0002,3,0.0184,3,0.0028,3,0.0004
3,0.0001,3,0.0176,3,0.002,3,0.0002
3,0.0001,3,0.0162,3,0.0022,3,0.0002
3,0.0001,3,0.0151,3,0.0024,3,0.0003
3,0.0002,3,0.0183,3,0.0027,3,0.0003
1,0.0001,1,0.0219,1,0.0021,2,0.0002
7,0.0002,3,0.025,3,0.0035,7,0.0004
7,0.0001,7,0.0265,3,0.0023,7,0.0002
2,0.0001,7,0.0381,3,0.0022,7,0.0002
7,0.0002,3,0.027,3,0.0029,7,0.0004
7,0.0002,7,0.0331,7,0.0023,7,0.0002
7,0.0002,3,0.0199,3,0.0035,7,0.0004
7,0.0001,7,0.0366,3,0.0024,7,0.0003
7,0.0002,3,0.0246,3,0.0033,7,0.0004
7,0.0001,3,0.0272,3,0.0025,7,0.0003
7,0.0002,3,0.0337,3,0.0028,3,0.0005
7,0.0001,2,0.0439,3,0.0023,7,0.0003
7,0.0002,3,0.0258,3,0.0033,3,0.0005
7,0.0001,2,0.0317,1,0.0021,2,0.0002
7,0.0002,3,0.0307,3,0.0032,3,0.0005
7,0.0002,3,0.0295,3,0.0026,3,0.0004
7,0.0002,3,0.0264,3,0.0032,3,0.0005
7,0.0002,3,0.0341,3,0.0028,3,0.0004
2,0.0001,3,0.0295,3,0.0025,7,0.0003
7,0.0001,7,0.0442,3,0.0026,3,0.0003
1,0.0001,1,0.0123,1,0.0021,1,0.0002
7,0.0001,3,0.0654,3,0.0025,3,0.0003
7,0.0001,3,0.0442,0,0.0024,3,0.0003
7,0.0002,3,0.0493,3,0.0026,1,0.0004
7,0.0002,3,0.0835,3,0.0027,1,0.0004
7,0.0002,3,0.0319,3,0.0032,3,0.0005
7,0.0002,3,0.0372,3,0.0033,3,0.0007
7,0.0004,3,0.1036,1,0.0022,1,0.0003
7,0.0002,3,0.0433,3,0.0024,2,0.0003
7,0.0001,3,0.0307,3,0.0023,7,0.0003
7,0.0001,1,0.0466,2,0.0023,7,0.0003
7,0.0002,3,0.0287,3,0.0028,7,0.0003
7,0.0002,3,0.0317,3,0.0033,7,0.0005
1,0.0001,1,0.0247,1,0.002,1,0.0002
2,0.0001,2,0.0355,7,0.0023,7,0.0003
7,0.0002,3,0.0314,3,0.0031,7,0.0004
7,0.0001,2,0.0383,1,0.0024,7,0.0003
1,0.0001,2,0.0487,2,0.0023,7,0.0002
1,0.0001,1,0.031,0,0.002,1,0.0002
7,0.0001,7,0.0424,7,0.0023,7,0.0002
7,0.0001,7,0.0316,7,0.0025,7,0.0003
7,0.0002,3,0.0202,3,0.0033,7,0.0004
7,0.0002,3,0.0242,3,0.0036,7,0.0005
7,0.0002,3,0.0238,3,0.0033,7,0.0005
7,0.0001,3,0.0242,3,0.003,7,0.0003
7,0.0001,3,0.02,3,0.0027,7,0.0003
7,0.0002,3,0.022,3,0.0032,7,0.0004
7,0.0001,2,0.0425,1,0.0023,7,0.0002
7,0.0002,3,0.0211,3,0.0039,7,0.0005
7,0.0002,3,0.0275,3,0.0048,7,0.0007
7,0.0002,3,0.0278,3,0.0034,3,0.0004
1,0.0001,1,0.0161,1,0.0021,1,0.0002
1,0.0001,7,0.0359,3,0.0027,3,0.0003
7,0.0002,3,0.037,3,0.0032,3,0.0004
7,0.0002,3,0.0332,3,0.0033,3,0.0004
1,0.0001,1,0.0305,7,0.0023,7,0.0002
7,0.0002,3,0.0264,3,0.0044,3,0.0005
7,0.0001,0,0.0888,3,0.0025,7,0.0002
1,0.0004,7,0.0592,3,0.0025,7,0.0002
7,0.0001,3,0.0393,3,0.0027,7,0.0003
7,0.0001,3,0.0363,3,0.0023,7,0.0003
2,0.0003,2,0.0351,1,0.0023,7,0.0003
2,0.0001,3,0.0354,7,0.0044,7,0.0002
2,0.0003,7,0.0325,7,0.0022,7,0.0003
7,0.0002,3,0.0372,3,0.0027,3,0.0003
2,0.0001,3,0.0485,7,0.0022,7,0.0002
2,0.0002,3,0.0444,7,0.0028,7,0.0004
7,0.0002,3,0.0269,3,0.0028,3,0.0004
1,0.0001,1,0.0411,1,0.0022,2,0.0003
7,0.0001,7,0.0329,3,0.0022,7,0.0003
7,0.0001,3,0.0233,3,0.0024,7,0.0002
3,0.0001,3,0.0183,3,0.0022,7,0.0002
3,0.0002,3,0.0271,3,0.0039,7,0.0005
2,0.0003,3,0.0245,3,0.0024,7,0.0003
7,0.0001,3,0.023,3,0.0023,7,0.0002
3,0.0001,3,0.0242,3,0.002,7,0.0002
3,0.0001,3,0.0148,3,0.0021,7,0.0002
1,0.0003,7,0.0785,3,0.0021,7,0.0002
1,0.0003,3,0.0341,3,0.0018,7,0.0002
3,0.0001,3,0.0187,3,0.0029,7,0.0003
3,0.0001,3,0.024,3,0.0023,3,0.0003
7,0.0003,3,0.0369,3,0.0024,3,0.0003
3,0.0001,3,0.0217,3,0.0026,3,0.0004
3,0.0001,3,0.0321,3,0.0022,3,0.0003
3,0.0001,3,0.035,3,0.0021,3,0.0003
3,0.0001,3,0.0278,3,0.0024,3,0.0003
3,0.0002,3,0.03,3,0.0036,3,0.0006
3,0.0002,3,0.0175,3,0.0026,3,0.0003
3,0.0002,3,0.0259,3,0.0028,3,0.0004
3,0.0001,3,0.0353,3,0.0021,1,0.0003
3,0.0002,3,0.0304,3,0.0024,3,0.0003
3,0.0002,3,0.0249,3,0.0024,3,0.0004
2,0.0001,3,0.0315,0,0.002,0,0.0002
3,0.0002,3,0.041,3,0.0025,3,0.0004
3,0.0001,3,0.0297,3,0.0019,3,0.0002
1,0.0003,3,0.0279,3,0.0021,3,0.0003
3,0.0001,3,0.0509,3,0.0032,3,0.0003
1,0.0003,7,0.0568,3,0.0019,3,0.0002
3,0.0003,3,0.0333,3,0.0021,3,0.0003
3,0.0001,3,0.0312,3,0.0109,3,0.0004
3,0.0002,3,0.0199,3,0.0115,3,0.0004
7,0.0001,1,0.0371,3,0.0024,7,0.0003
7,0.0002,3,0.0264,3,0.0046,7,0.0005
3,0.0002,3,0.0238,3,0.0027,7,0.0003
2,0.0002,1,0.0423,7,0.0031,7,0.0004
3,0.0001,3,0.0228,3,0.0113,7,0.0002
1,0.0003,3,0.0552,7,0.0021,7,0.0002
3,0.0001,3,0.0261,3,0.002,7,0.0002
3,0.0001,3,0.0201,3,0.0022,7,0.0002
3,0.0001,3,0.0237,3,0.0019,7,0.0002
3,0.0002,3,0.0257,3,0.0044,7,0.0007
3,0.0002,3,0.0185,3,0.0029,7,0.0004
3,0.0001,3,0.0155,3,0.0146,7,0.0002
3,0.0001,3,0.0196,3,0.0022,7,0.0002
3,0.0002,3,0.0213,3,0.0036,7,0.0005
3,0.0001,3,0.0169,3,0.0023,7,0.0002
7,0.0002,3,0.0156,3,0.0025,7,0.0003
7,0.0001,3,0.0315,3,0.002,7,0.0002
3,0.0002,3,0.0189,3,0.003,7,0.0004
7,0.0003,3,0.0302,3,0.0056,7,0.0008
3,0.0001,3,0.0248,3,0.0022,3,0.0002
7,0.0001,3,0.0353,3,0.0025,3,0.0003
3,0.0002,3,0.0312,3,0.0035,3,0.0005
1,0.0001,1,0.0228,1,0.0018,1,0.0002
1,0.0003,3,0.0264,3,0.002,7,0.0002
0,0.0001,3,0.0309,3,0.0027,3,0.0003
3,0.0002,3,0.0399,3,0.0043,3,0.0005
3,0.0001,3,0.0329,3,0.0026,3,0.0003
3,0.0001,3,0.0367,3,0.0021,3,0.0002
3,0.0001,3,0.0366,3,0.0023,3,0.0003
1,0.0003,3,0.0272,3,0.0022,7,0.0002
7,0.0002,3,0.0233,3,0.0028,3,0.0004
3,0.0001,3,0.0261,3,0.0023,3,0.0003
3,0.0001,3,0.0263,3,0.0025,7,0.0003
2,0.0001,3,0.0307,3,0.0021,7,0.0002
2,0.0001,3,0.0439,3,0.002,7,0.0002
1,0.0003,3,0.0286,3,0.0038,7,0.0003
1,0.0003,3,0.0376,3,0.0019,7,0.0002
3,0.0001,3,0.0286,3,0.0021,7,0.0002
3,0.0002,3,0.0366,3,0.0029,3,0.0004
3,0.0002,3,0.0175,3,0.0028,3,0.0004
3,0.0001,3,0.0237,3,0.0023,3,0.0002
3,0.0002,3,0.0211,3,0.0028,3,0.0004
3,0.0001,3,0.0178,3,0.0044,3,0.0003
3,0.0001,3,0.0134,3,0.0019,3,0.0002
3,0.0002,3,0.0187,3,0.0026,3,0.0004
1,0.0003,0,0.0659,0,0.002,3,0.0002
3,0.0001,3,0.0191,3,0.0021,3,0.0002
3,0.0002,3,0.021,3,0.0028,3,0.0004
3,0.0001,3,0.015,3,0.0019,3,0.0002
3,0.0001,3,0.0172,3,0.0023,7,0.0002
2,0.0001,3,0.0277,3,0.0025,7,0.0003
7,0.0003,3,0.0189,3,0.0041,7,0.0003
3,0.0002,3,0.0198,3,0.0027,7,0.0003
2,0.0004,3,0.0236,3,0.0025,7,0.0003
3,0.0001,3,0.0595,3,0.0022,7,0.0002
3,0.0002,3,0.0247,3,0.0028,7,0.0003
3,0.0002,3,0.0215,3,0.0031,7,0.0004
3,0.0001,7,0.0415,3,0.0021,7,0.0002
3,0.0001,3,0.017,3,0.0188,7,0.0002
3,0.0002,3,0.033,3,0.0025,3,0.0004
3,0.0001,3,0.0235,3,0.002,7,0.0002
3,0.0003,3,0.0404,3,0.0026,1,0.0003
3,0.0001,3,0.03,3,0.0021,3,0.0002
3,0.0001,3,0.0285,3,0.0025,3,0.0003
3,0.0002,3,0.0323,3,0.0033,3,0.0005
3,0.0002,3,0.0267,3,0.003,3,0.0005
3,0.0002,3,0.0277,3,0.0027,3,0.0004
3,0.0001,3,0.0433,3,0.0025,3,0.0003
3,0.0001,3,0.0475,3,0.0024,3,0.0003
3,0.0001,3,0.0311,3,0.0019,7,0.0002
1,0.0003,3,0.0532,3,0.002,3,0.0003
7,0.0003,3,0.044,3,0.0021,3,0.0002
3,0.0001,3,0.049,3,0.002,3,0.0002
0,0.0001,0,0.0159,0,0.0156,1,0.0003
3,0.0001,3,0.0453,3,0.0019,3,0.0002
3,0.0004,3,0.0337,3,0.0029,3,0.0005
3,0.0003,3,0.0352,3,0.002,0,0.0002
3,0.0001,3,0.0328,3,0.0021,0,0.0003
1,0.0003,1,0.0903,3,0.0038,1,0.0003
3,0.0002,3,0.0215,3,0.0033,7,0.0004
3,0.0003,3,0.0197,3,0.0022,7,0.0002
7,0.0002,3,0.0312,3,0.0023,7,0.0003
7,0.0002,3,0.0256,3,0.0029,7,0.0004
3,0.0002,3,0.025,3,0.0031,7,0.0004
3,0.0002,3,0.0257,3,0.0031,7,0.0004
3,0.0001,3,0.0275,7,0.0021,7,0.0002
3,0.0001,3,0.0191,3,0.0022,7,0.0003
3,0.0001,7,0.0375,3,0.0021,7,0.0002
3,0.0001,3,0.0197,3,0.0021,7,0.0002
3,0.0001,3,0.0209,3,0.0028,7,0.0003
3,0.0001,3,0.014,3,0.0022,7,0.0002
3,0.0001,3,0.0237,3,0.002,7,0.0002
3,0.0001,3,0.0149,3,0.0025,7,0.0003
7,0.0001,3,0.014,3,0.0023,7,0.0003
3,0.0001,3,0.0173,3,0.002,7,0.0002
3,0.0001,3,0.0189,3,0.0021,7,0.0002
3,0.0001,3,0.0192,7,0.0022,7,0.0002
3,0.0001,3,0.0151,3,0.0026,7,0.0004
3,0.0001,3,0.0189,3,0.0026,3,0.0003
3,0.0002,3,0.0296,3,0.0026,3,0.0003
3,0.0002,3,0.0317,3,0.0034,3,0.0004
3,0.0002,3,0.0259,3,0.0034,3,0.0004
1,0.0002,3,0.0435,3,0.0024,7,0.0002
3,0.0001,3,0.0271,3,0.0022,3,0.0002
3,0.0002,3,0.025,3,0.0032,3,0.0004
1,0.0003,7,0.0446,3,0.0025,3,0.0003
3,0.0001,3,0.041,3,0.0024,3,0.0002
1,0.0003,3,0.0337,3,0.0021,7,0.0002
3,0.0001,3,0.0339,3,0.0025,3,0.0003
7,0.0001,3,0.0418,3,0.013,7,0.0003
7,0.0001,3,0.0452,3,0.0025,7,0.0003
3,0.0001,3,0.0642,3,0.0021,3,0.0002
3,0.0001,3,0.0202,3,0.0022,7,0.0002
3,0.0001,3,0.0285,3,0.0025,3,0.0003
3,0.0001,3,0.0248,3,0.0021,7,0.0002
1,0.0001,2,0.0453,7,0.0022,7,0.0002
2,0.0001,3,0.037,3,0.0023,7,0.0003
3,0.0001,3,0.033,3,0.002,7,0.0002
7,0.0001,3,0.0385,3,0.0027,3,0.0003
2,0.0001,3,0.0416,7,0.0025,2,0.0003
7,0.0002,3,0.0344,3,0.0033,7,0.0004
1,0.0001,2,0.0296,2,0.0023,2,0.0002
7,0.0002,7,0.0445,7,0.0031,7,0.0004
7,0.0002,3,0.0281,3,0.0027,7,0.0003
2,0.0001,1,0.0257,1,0.0024,2,0.0003
7,0.0002,3,0.0309,3,0.0037,7,0.0005
2,0.0002,7,0.0383,3,0.0028,7,0.0003
7,0.0002,3,0.0234,3,0.0034,7,0.0005
7,0.0002,7,0.0406,7,0.0027,7,0.0003
7,0.0002,1,0.0275,1,0.0027,2,0.0004
7,0.0001,1,0.0255,1,0.0023,2,0.0003
2,0.0001,1,0.0215,1,0.0026,2,0.0003
2,0.0001,2,0.0297,1,0.0025,2,0.0003
2,0.0001,1,0.0221,1,0.0025,2,0.0003
7,0.0002,3,0.0369,3,0.003,7,0.0004
7,0.0002,3,0.0481,3,0.0032,3,0.0005
7,0.0002,7,0.0418,3,0.0028,7,0.0004
2,0.0002,1,0.0415,3,0.0027,7,0.0003
7,0.0002,3,0.096,3,0.0031,1,0.0004
7,0.0002,3,0.0438,3,0.0032,3,0.0005
7,0.0002,3,0.0368,3,0.0029,7,0.0004
2,0.0002,7,0.0457,3,0.0027,2,0.0004
7,0.0002,7,0.0395,2,0.0028,1,0.0004
2,0.0001,3,0.0534,3,0.0024,1,0.0003
7,0.0002,3,0.0363,3,0.0028,3,0.0004
2,0.0003,3,0.0644,3,0.003,7,0.0005
7,0.0002,3,0.0611,3,0.0026,0,0.0004
7,0.0002,3,0.0467,3,0.0034,3,0.0005
1,0.0001,1,0.0169,1,0.0023,1,0.0003
2,0.0001,2,0.0421,7,0.0026,7,0.0003
2,0.0002,7,0.0351,7,0.0028,7,0.0003
2,0.0001,2,0.038,2,0.0027,7,0.0003
2,0.0002,7,0.0416,7,0.0027,7,0.0003
7,0.0002,1,0.0239,7,0.0029,7,0.0003
7,0.0002,3,0.0313,3,0.0045,7,0.0006
7,0.0002,3,0.0316,7,0.0031,7,0.0004
7,0.0001,2,0.0548,7,0.0025,7,0.0003
2,0.0002,3,0.0327,7,0.003,7,0.0004
2,0.0002,1,0.0213,1,0.0023,2,0.0003
2,0.0001,2,0.0299,7,0.0025,2,0.0003
7,0.0003,3,0.0218,3,0.0036,7,0.0004
2,0.0002,7,0.0397,2,0.0027,2,0.0003
7,0.0002,7,0.0462,7,0.0031,7,0.0004
2,0.0002,2,0.0531,7,0.0027,2,0.0003
2,0.0001,1,0.03,2,0.0025,2,0.0003
2,0.0001,7,0.0379,2,0.0024,2,0.0002
7,0.0002,3,0.0249,3,0.0046,7,0.0006
7,0.0002,3,0.0283,3,0.0032,7,0.0004
2,0.0001,2,0.0436,2,0.0025,2,0.0003
