polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0002,3,0.0253,3,0.0042,7,0.0005
1,0.0001,1,0.0216,7,0.0024,2,0.0002
7,0.0002,3,0.034,3,0.0036,7,0.0004
7,0.0002,3,0.0295,3,0.0041,7,0.0006
2,0.0002,2,0.0434,7,0.0027,7,0.0003
2,0.0001,2,0.0333,3,0.0024,2,0.0003
1,0.0001,1,0.0192,1,0.0022,2,0.0002
7,0.0002,7,0.0631,3,0.0029,7,0.0003
2,0.0001,1,0.032,7,0.0027,7,0.0003
2,0.0002,1,0.0288,3,0.0023,2,0.0003
7,0.0002,7,0.0442,3,0.0031,3,0.0004
7,0.0001,1,0.0247,1,0.0023,7,0.0003
7,0.0002,3,0.046,3,0.0033,3,0.0005
2,0.0002,2,0.0644,3,0.0027,3,0.0004
2,0.0001,2,0.0349,3,0.0024,7,0.0003
2,0.0001,2,0.0391,3,0.0025,7,0.0003
7,0.0003,3,0.0502,3,0.0056,3,0.0011
2,0.0002,1,0.0302,3,0.0024,2,0.0003
7,0.0002,7,0.0461,3,0.0027,3,0.0004
2,0.0001,1,0.0327,1,0.0023,2,0.0003
2,0.0001,2,0.0357,7,0.0024,2,0.0003
2,0.0001,7,0.0491,3,0.0025,2,0.0003
1,0.0001,1,0.0246,1,0.0022,1,0.0003
1,0.0001,1,0.0254,1,0.0024,1,0.0003
2,0.0001,1,0.0505,1,0.0024,7,0.0003
7,0.0002,3,0.0326,3,0.0031,3,0.0005
2,0.0002,2,0.0423,1,0.0024,1,0.0003
1,0.0001,1,0.0259,1,0.0021,1,0.0003
2,0.0001,1,0.028,1,0.0023,2,0.0003
2,0.0002,2,0.0307,3,0.0025,7,0.0003
2,0.0001,2,0.0427,3,0.0026,7,0.0003
7,0.0002,3,0.0334,3,0.0036,7,0.0005
2,0.0001,1,0.0321,7,0.0024,7,0.0003
2,0.0002,2,0.0292,7,0.0025,7,0.0003
7,0.0002,3,0.0334,3,0.0033,7,0.0004
2,0.0002,2,0.0412,3,0.0029,7,0.0003
1,0.0001,1,0.0185,1,0.002,2,0.0002
7,0.0002,3,0.0261,3,0.0039,7,0.0005
2,0.0001,2,0.0442,3,0.0026,7,0.0003
2,0.0001,7,0.0381,3,0.0026,7,0.0003
2,0.0001,2,0.0433,7,0.0026,7,0.0003
2,0.0001,7,0.0479,7,0.0025,7,0.0003
2,0.0001,7,0.0506,3,0.0028,7,0.0003
7,0.0002,3,0.0241,3,0.0034,7,0.0004
7,0.0001,2,0.0296,7,0.0023,2,0.0002
2,0.0001,2,0.0478,7,0.0024,7,0.0003
7,0.0002,3,0.029,3,0.0032,7,0.0004
7,0.0002,3,0.0316,3,0.003,7,0.0004
2,0.0001,7,0.0529,7,0.0026,7,0.0003
2,0.0002,3,0.0318,3,0.0031,7,0.0004
2,0.0001,1,0.0369,3,0.0025,7,0.0003
2,0.0001,1,0.0338,7,0.0025,2,0.0003
2,0.0001,2,0.0347,3,0.0028,7,0.0003
2,0.0001,2,0.0396,3,0.0026,7,0.0003
7,0.0002,7,0.0603,0,0.0039,3,0.0005
2,0.0002,2,0.0335,3,0.0028,7,0.0003
2,0.0002,2,0.046,3,0.0027,7,0.0003
2,0.0002,2,0.0279,3,0.0025,7,0.0003
1,0.0001,1,0.0278,3,0.0024,7,0.0003
2,0.0001,2,0.0431,2,0.0023,7,0.0002
2,0.0001,2,0.0763,2,0.0025,7,0.0003
2,0.0002,3,0.0542,7,0.003,7,0.0004
2,0.0001,2,0.0402,7,0.0023,7,0.0002
2,0.0001,7,0.0632,3,0.0028,7,0.0004
1,0.0001,1,0.0305,1,0.0022,2,0.0003
7,0.0002,3,0.0462,3,0.003,7,0.0004
7,0.0002,3,0.0254,3,0.0029,7,0.0004
2,0.0002,2,0.0439,7,0.0028,7,0.0003
2,0.0002,3,0.0913,3,0.0028,7,0.0004
3,0.0002,3,0.0202,3,0.0028,3,0.0004
3,0.0002,3,0.0225,3,0.0034,3,0.0005
3,0.0002,3,0.018,3,0.0022,3,0.0003
3,0.0001,3,0.0192,3,0.0024,3,0.0003
3,0.0002,3,0.0213,3,0.0028,3,0.0004
3,0.0002,3,0.0195,3,0.0026,3,0.0003
3,0.0002,3,0.019,3,0.0026,3,0.0003
3,0.0001,3,0.018,3,0.0024,3,0.0003
3,0.0001,3,0.0166,3,0.0022,3,0.0003
3,0.0002,3,0.0202,3,0.003,3,0.0004
7,0.0002,3,0.0341,3,0.0035,7,0.0004
7,0.0002,3,0.0279,3,0.0039,7,0.0005
7,0.0002,7,0.0403,3,0.0031,7,0.0004
2,0.0002,2,0.0481,3,0.0028,7,0.0003
7,0.0002,3,0.0267,3,0.0041,7,0.0005
2,0.0001,2,0.0318,3,0.0026,7,0.0003
7,0.0002,3,0.0304,3,0.0039,7,0.0005
1,0.0001,1,0.0229,1,0.0022,2,0.0002
2,0.0001,1,0.0259,2,0.0024,2,0.0003
2,0.0002,7,0.0381,3,0.0029,7,0.0004
7,0.0002,3,0.0384,3,0.003,3,0.0004
1,0.0001,1,0.0231,1,0.0021,2,0.0002
7,0.0002,3,0.042,3,0.003,3,0.0004
2,0.0002,7,0.0333,3,0.0027,7,0.0004
2,0.0002,2,0.0513,1,0.0025,3,0.0003
2,0.0001,7,0.0352,3,0.0025,7,0.0003
7,0.0002,3,0.0657,3,0.0033,3,0.0005
7,0.0002,3,0.0471,3,0.0031,3,0.0005
2,0.0001,2,0.0418,1,0.0023,7,0.0003
2,0.0001,1,0.0328,3,0.0025,2,0.0003
1,0.0002,1,0.0232,1,0.0024,2,0.0003
2,0.0001,7,0.0617,1,0.0025,1,0.0003
1,0.0001,1,0.0312,1,0.0022,2,0.0003
7,0.0002,7,0.042,3,0.003,3,0.0005
2,0.0001,2,0.0477,3,0.0025,2,0.0003
2,0.0002,3,0.0308,3,0.0026,7,0.0004
7,0.0003,7,0.0537,3,0.0031,3,0.0005
2,0.0001,2,0.0435,3,0.0024,2,0.0003
1,0.0001,1,0.0277,1,0.0023,2,0.0003
1,0.0001,1,0.0368,1,0.0024,2,0.0003
2,0.0002,7,0.0297,7,0.0027,7,0.0004
1,0.0001,1,0.0267,2,0.0024,7,0.0002
2,0.0001,1,0.0451,2,0.0025,2,0.0003
2,0.0002,2,0.0427,7,0.0027,7,0.0003
7,0.0002,7,0.0317,3,0.003,7,0.0003
2,0.0002,7,0.0396,3,0.0027,7,0.0003
1,0.0001,2,0.0204,1,0.0023,7,0.0003
2,0.0001,2,0.032,7,0.0026,7,0.0003
7,0.0002,3,0.0271,3,0.0034,7,0.0005
7,0.0002,3,0.0401,3,0.0042,7,0.0006
7,0.0002,3,0.021,3,0.0037,7,0.0005
2,0.0002,3,0.0321,3,0.003,7,0.0003
7,0.0003,3,0.0344,3,0.0061,7,0.0009
7,0.0002,3,0.0277,3,0.0036,7,0.0004
7,0.0002,3,0.0272,3,0.0045,7,0.0006
7,0.0002,7,0.0298,3,0.0036,7,0.0004
7,0.0002,3,0.0271,3,0.004,7,0.0005
2,0.0001,2,0.0466,3,0.0026,2,0.0003
7,0.0002,3,0.0367,3,0.0034,7,0.0004
2,0.0001,1,0.0248,7,0.0023,2,0.0003
7,0.0002,1,0.0529,3,0.0029,7,0.0003
7,0.0002,7,0.046,3,0.0032,7,0.0004
7,0.0002,2,0.0463,3,0.0094,7,0.0004
1,0.0002,1,0.0231,1,0.0024,7,0.0002
7,0.0002,7,0.0433,3,0.0033,3,0.0004
2,0.0002,7,0.0518,3,0.0031,7,0.0003
1,0.0001,1,0.0254,1,0.0022,2,0.0003
7,0.0002,7,0.0565,3,0.0032,3,0.0004
2,0.0002,2,0.0438,3,0.0028,3,0.0003
2,0.0002,2,0.0437,3,0.0026,7,0.0003
2,0.0002,3,0.0383,3,0.0027,3,0.0003
2,0.0001,1,0.0477,2,0.0023,7,0.0003
2,0.0003,7,0.0385,3,0.0027,7,0.0003
