textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.15,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.55,True,0.06,True,0.23
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.64,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.36,True,0.07,True,0.37
True,0.15,True,0.0,True,0.01,True,0.0,True,0.02,True,0.0,True,0.0,True,0.95,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.93,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.99,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.16,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.23,True,0.06,True,0.21
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.01,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.9,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.59,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.18,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.01,True,0.0,True,0.0,True,2.08,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.23,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.88,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.63,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.78,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.95,True,0.06,True,0.21
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.84,True,0.06,True,0.22
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.27,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.15,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.8,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.85,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.14,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.71,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.13,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.73,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.74,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.7,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.56,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.55,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.7,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.48,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.43,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.63,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.66,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.37,True,0.06,True,0.2
