polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0001,3,0.0199,3,0.0024,7,0.0002
7,0.0001,3,0.0213,3,0.0026,7,0.0003
7,0.0001,3,0.0324,3,0.0024,7,0.0003
7,0.0001,7,0.0309,3,0.0021,7,0.0002
7,0.0001,3,0.0227,3,0.0024,3,0.0003
7,0.0001,7,0.0443,3,0.0025,7,0.0002
7,0.0001,1,0.0316,1,0.0044,7,0.0002
7,0.0002,3,0.0199,3,0.0034,7,0.0004
7,0.0002,3,0.0209,3,0.0034,7,0.0004
7,0.0001,3,0.0208,7,0.0022,3,0.0002
7,0.0002,3,0.0216,3,0.0022,7,0.0003
7,0.0002,3,0.02,7,0.0045,7,0.0003
7,0.0003,3,0.0193,3,0.0074,7,0.0005
7,0.0001,3,0.0161,3,0.0068,7,0.0003
7,0.0002,3,0.0176,3,0.0142,7,0.0003
7,0.0001,7,0.0343,3,0.0093,3,0.0002
1,0.0001,1,0.0461,0,0.0095,3,0.0002
7,0.0002,3,0.0207,3,0.0024,7,0.0003
7,0.0001,3,0.0172,3,0.0027,7,0.0003
7,0.0001,3,0.0235,3,0.0037,3,0.0004
7,0.0002,3,0.0255,3,0.0045,3,0.0003
7,0.0002,3,0.0274,3,0.0033,3,0.0004
7,0.0002,3,0.0249,3,0.0032,3,0.0003
7,0.0002,3,0.0337,3,0.0035,3,0.0004
7,0.0001,3,0.0328,3,0.0023,7,0.0002
7,0.0002,3,0.0259,3,0.0036,3,0.0005
7,0.0002,3,0.0327,3,0.0035,3,0.0004
7,0.0003,3,0.0365,3,0.0075,3,0.0008
7,0.0002,7,0.0322,3,0.0043,3,0.0004
7,0.0002,3,0.0339,3,0.0035,7,0.0005
7,0.0001,3,0.0344,7,0.0022,7,0.0002
7,0.0001,3,0.0478,3,0.0022,7,0.0002
2,0.0001,3,0.09,1,0.0024,3,0.0002
7,0.0001,3,0.0305,3,0.002,7,0.0002
7,0.0002,3,0.0239,3,0.0029,7,0.0004
7,0.0001,3,0.0273,3,0.0027,3,0.0004
7,0.0003,7,0.0425,1,0.0022,7,0.0002
7,0.0001,3,0.028,7,0.0021,7,0.0002
7,0.0002,3,0.0243,3,0.0028,3,0.0003
3,0.0002,3,0.0201,3,0.0035,3,0.0005
3,0.0001,3,0.0146,3,0.0022,3,0.0003
3,0.0002,3,0.0178,3,0.0029,3,0.0004
3,0.0001,3,0.0159,3,0.0018,3,0.0002
3,0.0001,3,0.0201,3,0.0025,3,0.0003
3,0.0001,3,0.0138,3,0.0022,3,0.0003
3,0.0002,3,0.0178,3,0.0031,3,0.0004
3,0.0002,3,0.0177,3,0.0026,3,0.0004
3,0.0001,3,0.0132,3,0.002,3,0.0002
3,0.0002,3,0.0183,3,0.0031,3,0.0004
7,0.0001,3,0.0319,3,0.0026,7,0.0003
7,0.0002,3,0.019,3,0.0033,7,0.0003
1,0.0001,2,0.0318,7,0.0019,7,0.0002
7,0.0002,3,0.0178,3,0.003,7,0.0003
7,0.0001,3,0.0166,3,0.0026,7,0.0003
7,0.0001,3,0.0199,3,0.0026,7,0.0004
7,0.0002,3,0.0174,3,0.0037,7,0.0002
7,0.0001,3,0.0234,3,0.0029,7,0.0005
7,0.0002,3,0.0196,3,0.0038,7,0.0004
1,0.0001,2,0.0349,3,0.0023,7,0.0002
7,0.0002,3,0.0179,3,0.0047,3,0.0004
7,0.0002,3,0.0335,3,0.0029,3,0.0003
7,0.0001,7,0.0226,3,0.0023,7,0.0003
7,0.0002,3,0.0261,3,0.0029,3,0.0005
7,0.0002,3,0.0255,3,0.0031,3,0.0004
7,0.0002,3,0.0373,3,0.003,3,0.0004
7,0.0001,3,0.0232,3,0.0022,3,0.0002
7,0.0001,7,0.0388,1,0.0022,3,0.0003
7,0.0001,3,0.0243,3,0.0023,3,0.0003
7,0.0001,3,0.0362,3,0.0022,3,0.0002
7,0.0001,3,0.0345,3,0.0024,3,0.0003
7,0.0001,3,0.0353,3,0.0024,3,0.0003
2,0.0001,3,0.0298,3,0.0022,3,0.0003
7,0.0001,3,0.0276,3,0.0021,3,0.0003
7,0.0001,3,0.1244,3,0.0014,3,0.0003
7,0.0002,3,0.0548,3,0.0031,3,0.0004
7,0.0002,3,0.0481,3,0.0024,3,0.0004
7,0.0002,3,0.0438,3,0.0026,3,0.0004
1,0.0001,1,0.0315,1,0.0019,2,0.0002
1,0.0001,3,0.0457,3,0.0021,3,0.0002
7,0.0001,3,0.0279,3,0.0024,7,0.0002
1,0.0001,2,0.0548,7,0.0024,7,0.0002
7,0.0002,3,0.0243,3,0.0033,7,0.0004
7,0.0002,3,0.0271,3,0.0032,7,0.0004
1,0.0001,7,0.0297,3,0.0022,3,0.0002
7,0.0002,3,0.0225,3,0.0031,3,0.0004
1,0.0001,2,0.0447,2,0.0019,7,0.0002
7,0.0001,3,0.0258,3,0.0027,7,0.0003
7,0.0001,3,0.0271,3,0.0027,7,0.0003
1,0.0001,3,0.0302,3,0.0021,7,0.0003
7,0.0001,3,0.0231,7,0.0025,7,0.0003
7,0.0001,3,0.0308,7,0.0024,7,0.0002
2,0.0001,3,0.0465,7,0.0021,7,0.0002
7,0.0001,0,0.0737,7,0.0022,7,0.0002
7,0.0002,3,0.0233,3,0.0042,7,0.0006
7,0.0001,3,0.0361,7,0.0027,7,0.0003
7,0.0001,3,0.0286,3,0.0025,7,0.0002
2,0.0001,3,0.0457,7,0.0022,7,0.0002
7,0.0002,3,0.0213,3,0.0041,7,0.0005
7,0.0002,3,0.0274,3,0.003,7,0.0004
7,0.0002,3,0.028,3,0.0028,3,0.0003
7,0.0001,3,0.0473,3,0.0025,3,0.0002
1,0.0001,7,0.0494,3,0.0022,3,0.0002
7,0.0001,3,0.0273,3,0.0027,3,0.0003
7,0.0001,3,0.0369,3,0.0032,3,0.0004
1,0.0001,7,0.0431,3,0.0021,7,0.0002
7,0.0001,3,0.0331,3,0.0027,3,0.0002
1,0.0003,3,0.0292,3,0.0022,7,0.0002
7,0.0002,3,0.0268,3,0.0036,3,0.0004
7,0.0001,3,0.0282,3,0.0026,3,0.0003
7,0.0002,3,0.029,3,0.0035,3,0.0004
7,0.0003,3,0.0394,3,0.0046,3,0.0008
7,0.0003,3,0.0266,3,0.0025,7,0.0003
7,0.0001,3,0.03,3,0.0026,3,0.0003
2,0.0003,7,0.0355,7,0.0024,3,0.0003
7,0.0001,3,0.0302,3,0.0022,7,0.0002
7,0.0001,3,0.0255,3,0.0023,7,0.0002
7,0.0001,3,0.0273,3,0.0028,3,0.0003
7,0.0002,3,0.0553,3,0.0034,3,0.0005
7,0.0001,3,0.0432,3,0.0029,3,0.0004
7,0.0004,3,0.0261,3,0.0033,7,0.0004
3,0.0001,3,0.0245,3,0.0025,7,0.0003
7,0.0002,3,0.0214,3,0.0038,7,0.0004
7,0.0001,3,0.0239,3,0.0023,7,0.0002
3,0.0001,3,0.0203,3,0.0031,7,0.0003
2,0.0001,3,0.0267,3,0.0023,7,0.0002
7,0.0002,3,0.0336,3,0.0032,3,0.0004
3,0.0001,3,0.0217,3,0.0042,7,0.0006
3,0.0001,3,0.0188,3,0.0025,3,0.0002
2,0.0003,3,0.0302,3,0.0022,7,0.0002
2,0.0001,3,0.1392,3,0.0013,3,0.0003
7,0.0003,3,0.0329,3,0.0024,3,0.0003
3,0.0002,3,0.0246,3,0.0027,3,0.0004
3,0.0001,3,0.0311,3,0.0025,3,0.0003
3,0.0001,3,0.0278,3,0.0025,3,0.0003
7,0.0003,3,0.0293,3,0.0024,3,0.0003
3,0.0002,3,0.0292,3,0.0041,3,0.0007
3,0.0002,3,0.0263,3,0.0029,3,0.0004
3,0.0001,3,0.0578,3,0.0026,3,0.0003
3,0.0001,3,0.0431,3,0.0066,1,0.0003
1,0.0004,0,0.1156,0,0.0025,3,0.0003
